inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,school_id_raw,school_id_clean,school_id_changed_flag,date_raw,date_clean,date_parse_method,date_ambiguous_flag,date_parse_error_flag,has_electricity_raw,has_electricity_clean,has_electricity_is_unknown_flag,has_drinking_water_raw,has_drinking_water_clean,has_drinking_water_is_unknown_flag,has_functional_toilet_raw,has_functional_toilet_clean,has_functional_toilet_is_unknown_flag,has_boundary_wall_raw,has_boundary_wall_clean,has_boundary_wall_is_unknown_flag,has_playground_raw,has_playground_clean,has_playground_is_unknown_flag,amenities_functional_count,amenities_deficit_count,infrastructure_score,infrastructure_deficit_pct
INSP02966,2025-02-04,SCH0476,True,True,True,True,,Fariq Tripathi,Good condition,sch_0476,SCH0476,True,02-04-2025,2025-02-04,DASH_MM_DD_AMBIGUOUS,True,False,H,True,False,TRUE,True,False,TRUE,True,False,Yes,True,False,,,True,4.0,0.0,80.0,0.0
INSP00970,2025-05-13,SCH0337,True,True,True,True,True,Unnati Kulkarni,Good condition,SCH0337,SCH0337,False,13.05.2025,2025-05-13,DOT_DD_MM_YYYY,False,False,TRUE,True,False,TRUE,True,False,Yes,True,False,TRUE,True,False,H,True,False,5.0,0.0,100.0,0.0
INSP01386,2025-06-26,SCH0127,True,True,False,True,True,Girik Natt,Toilets locked,SCH0127,SCH0127,False,26-06-2025,2025-06-26,DASH_DD_MM_YYYY,False,False,TRUE,True,False,TRUE,True,False,FALSE,False,False,Working,True,False,Functional,True,False,4.0,1.0,80.0,20.0
INSP01234,2025-06-02,SCH0372,False,False,True,True,False,Rudra Kurian,Good condition,SCH0372,SCH0372,False,02-Jun-25,2025-06-02,TEXT_MONTH,False,False,FALSE,False,False,No,False,False,TRUE,True,False,TRUE,True,False,Broken,False,False,2.0,3.0,40.0,60.0
INSP02997,2025-10-29,SCH0517,True,True,True,True,False,Mohammed Dara,Average,sch0517,SCH0517,True,29-10-2025,2025-10-29,DASH_DD_MM_YYYY,False,False,TRUE,True,False,TRUE,True,False,TRUE,True,False,TRUE,True,False,FALSE,False,False,4.0,1.0,80.0,20.0
INSP02408,2025-10-30,SCH0334,,False,True,False,True,,No remarks,sch_0334,SCH0334,True,10-30-2025,2025-10-30,DASH_MM_DD_YYYY,False,False,,,True,FALSE,False,False,TRUE,True,False,FALSE,False,False,TRUE,True,False,2.0,2.0,40.0,40.0
INSP02849,2025-07-23,SCH0229,True,True,True,True,False,Meera Sachar,Needs repair,S0229,SCH0229,True,23.07.2025,2025-07-23,DOT_DD_MM_YYYY,False,False,Y,True,False,TRUE,True,False,TRUE,True,False,Yes,True,False,Broken,False,False,4.0,1.0,80.0,20.0
INSP01240,2025-12-29,SCH0072,True,True,True,False,False,Shivani Konda,Toilets locked,72,SCH0072,True,29-12-2025,2025-12-29,DASH_DD_MM_YYYY,False,False,TRUE,True,False,1,True,False,haan,True,False,FALSE,False,False,0,False,False,3.0,2.0,60.0,40.0
INSP02649,2026-01-20,SCH0516,True,True,True,True,True,Yachana Mody,Good condition,SCH0516,SCH0516,False,20-01-2026,2026-01-20,DASH_DD_MM_YYYY,False,False,TRUE,True,False,Yes,True,False,Working,True,False,Haan,True,False,1,True,False,5.0,0.0,100.0,0.0
INSP01667,2025-12-05,SCH0182,True,True,True,False,True,Eiravati Choudhry,Good condition,sch_0182,SCH0182,True,12-05-2025,2025-12-05,DASH_MM_DD_AMBIGUOUS,True,False,Hai,True,False,Hai,True,False,haan,True,False,na,False,False,haan,True,False,4.0,1.0,80.0,20.0
